Country;Sex;Occupation;Currency;Survey;Type of Source;2010;2011;2012;2013;2014;2015;2016;2017
Finland;Female (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings survey;Establishment survey;2642;2635;;2817;2856;2676;;
Finland;Female (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings survey;Establishment survey;2168;1962;;2070;2058;1905;;
Finland;Female (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings survey;Establishment survey;3045;2861;;3003;3014;3016;;
France;Male (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);Labour cost and structure of earnings annual survey;Establishment survey;6303;;;;7260;;;
France;Male (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);Labour cost and structure of earnings annual survey;Establishment survey;4755;;;;5165;;;
France;Male (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);Labour cost and structure of earnings annual survey;Establishment survey;3246;;;;3654;;;
France;Male (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);Labour cost and structure of earnings annual survey;Establishment survey;2384;;;;2723;;;
France;Male (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);Labour cost and structure of earnings annual survey;Establishment survey;2335;;;;2708;;;
France;Male (Sex);6. Skilled agricultural, forestry and fishery workers (ISCO-08);Constant 2011 PPP $ (Currency);Labour cost and structure of earnings annual survey;Establishment survey;1915;;;;2262;;;
France;Male (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);Labour cost and structure of earnings annual survey;Establishment survey;2295;;;;2729;;;
France;Male (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);Labour cost and structure of earnings annual survey;Establishment survey;2422;;;;2819;;;
France;Male (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);Labour cost and structure of earnings annual survey;Establishment survey;1958;;;;2332;;;
France;Male (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);Labour cost and structure of earnings annual survey;Establishment survey;3278;;;;3770;;;
France;Female (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);Labour cost and structure of earnings annual survey;Establishment survey;4776;;;;5548;;;
France;Female (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);Labour cost and structure of earnings annual survey;Establishment survey;3597;;;;3875;;;
France;Female (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);Labour cost and structure of earnings annual survey;Establishment survey;2854;;;;3190;;;
France;Female (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);Labour cost and structure of earnings annual survey;Establishment survey;2282;;;;2613;;;
France;Female (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);Labour cost and structure of earnings annual survey;Establishment survey;2109;;;;2377;;;
France;Female (Sex);6. Skilled agricultural, forestry and fishery workers (ISCO-08);Constant 2011 PPP $ (Currency);Labour cost and structure of earnings annual survey;Establishment survey;1794;;;;2575;;;
France;Female (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);Labour cost and structure of earnings annual survey;Establishment survey;2053;;;;2255;;;
France;Female (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);Labour cost and structure of earnings annual survey;Establishment survey;2054;;;;2355;;;
France;Female (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);Labour cost and structure of earnings annual survey;Establishment survey;1859;;;;2071;;;
France;Female (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);Labour cost and structure of earnings annual survey;Establishment survey;2699;;;;3090;;;
Germany;Male (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;8411;;;;10351;;;
Germany;Male (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;6224;;;;6695;;;
Germany;Male (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;5121;;;;5160;;;
Germany;Male (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;3042;;;;3904;;;
Germany;Male (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2834;;;;2883;;;
Germany;Male (Sex);6. Skilled agricultural, forestry and fishery workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2533;;;;2927;;;
Germany;Male (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;3190;;;;3694;;;
Germany;Male (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;3177;;;;3420;;;
Germany;Male (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2317;;;;2412;;;
Germany;Male (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;3980;;;;4437;;;
Germany;Female (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;5925;;;;7535;;;
Germany;Female (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;4496;;;;5228;;;
Germany;Female (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;3597;;;;3804;;;
Germany;Female (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2898;;;;3548;;;
Germany;Female (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2459;;;;2545;;;
Germany;Female (Sex);6. Skilled agricultural, forestry and fishery workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2179;;;;2431;;;
Germany;Female (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2356;;;;2856;;;
Germany;Female (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2448;;;;2755;;;
Germany;Female (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2002;;;;2208;;;
Germany;Female (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;3093;;;;3442;;;
Greece;Male (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);Labour Force Survey;Labour force survey;;2232;2369;2572;2380;2392;2698;
Greece;Male (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);Labour Force Survey;Labour force survey;;1925;1770;1897;1906;1825;1899;
Greece;Male (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);Labour Force Survey;Labour force survey;;1793;1693;1854;1819;1869;1892;
Greece;Male (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);Labour Force Survey;Labour force survey;;1590;1507;1509;1482;1528;1517;
Greece;Male (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);Labour Force Survey;Labour force survey;;1414;1355;1331;1305;1318;1304;
Greece;Male (Sex);6. Skilled agricultural, forestry and fishery workers (ISCO-08);Constant 2011 PPP $ (Currency);Labour Force Survey;Labour force survey;;1314;1163;989;1077;1035;1055;
Greece;Male (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);Labour Force Survey;Labour force survey;;1350;1272;1297;1279;1289;1292;
Greece;Male (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);Labour Force Survey;Labour force survey;;1544;1436;1462;1469;1435;1469;
Greece;Male (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);Labour Force Survey;Labour force survey;;1150;1078;1087;1134;1127;1111;
Greece;Male (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);Labour Force Survey;Labour force survey;;1568;1487;1529;1509;1499;1525;
Greece;Female (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);Labour Force Survey;Labour force survey;;2006;2090;2198;1981;2122;2577;
Greece;Female (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);Labour Force Survey;Labour force survey;;1695;1560;1645;1646;1632;1670;
Greece;Female (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);Labour Force Survey;Labour force survey;;1542;1438;1463;1566;1487;1476;
Greece;Female (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);Labour Force Survey;Labour force survey;;1441;1340;1355;1351;1365;1385;
Greece;Female (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);Labour Force Survey;Labour force survey;;1085;1045;1012;1084;1039;1019;
Greece;Female (Sex);6. Skilled agricultural, forestry and fishery workers (ISCO-08);Constant 2011 PPP $ (Currency);Labour Force Survey;Labour force survey;;1252;1056;970;981;859;964;
Greece;Female (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);Labour Force Survey;Labour force survey;;1203;1135;1052;1126;1052;1084;
Greece;Female (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);Labour Force Survey;Labour force survey;;1196;1157;1211;1224;1219;1091;
Greece;Female (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);Labour Force Survey;Labour force survey;;905;860;816;874;896;913;
Greece;Female (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);Labour Force Survey;Labour force survey;;1357;1281;1310;1328;1298;1320;
Greece;Male (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);EU Statistics on Income and Living Conditions;Household income/expenditure survey;;2344;;;;;;
Greece;Male (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);EU Statistics on Income and Living Conditions;Household income/expenditure survey;;3507;;;;;;
Greece;Male (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);EU Statistics on Income and Living Conditions;Household income/expenditure survey;;2407;;;;;;
Greece;Male (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);EU Statistics on Income and Living Conditions;Household income/expenditure survey;;2247;;;;;;
Greece;Male (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);EU Statistics on Income and Living Conditions;Household income/expenditure survey;;2071;;;;;;
Greece;Male (Sex);6. Skilled agricultural, forestry and fishery workers (ISCO-08);Constant 2011 PPP $ (Currency);EU Statistics on Income and Living Conditions;Household income/expenditure survey;;1523;;;;;;
Greece;Male (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);EU Statistics on Income and Living Conditions;Household income/expenditure survey;;1354;;;;;;
Greece;Male (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);EU Statistics on Income and Living Conditions;Household income/expenditure survey;;1517;;;;;;
Greece;Male (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);EU Statistics on Income and Living Conditions;Household income/expenditure survey;;1874;;;;;;
Greece;Male (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);EU Statistics on Income and Living Conditions;Household income/expenditure survey;;1937;;;;;;
Greece;Female (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);EU Statistics on Income and Living Conditions;Household income/expenditure survey;;1900;;;;;;
Greece;Female (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);EU Statistics on Income and Living Conditions;Household income/expenditure survey;;2054;;;;;;
Greece;Female (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);EU Statistics on Income and Living Conditions;Household income/expenditure survey;;1764;;;;;;
Greece;Female (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);EU Statistics on Income and Living Conditions;Household income/expenditure survey;;1721;;;;;;
Greece;Female (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);EU Statistics on Income and Living Conditions;Household income/expenditure survey;;1605;;;;;;
Greece;Female (Sex);6. Skilled agricultural, forestry and fishery workers (ISCO-08);Constant 2011 PPP $ (Currency);EU Statistics on Income and Living Conditions;Household income/expenditure survey;;1186;;;;;;
Greece;Female (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);EU Statistics on Income and Living Conditions;Household income/expenditure survey;;873;;;;;;
Greece;Female (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);EU Statistics on Income and Living Conditions;Household income/expenditure survey;;1184;;;;;;
Greece;Female (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);EU Statistics on Income and Living Conditions;Household income/expenditure survey;;1467;;;;;;
Greece;Female (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);EU Statistics on Income and Living Conditions;Household income/expenditure survey;;1486;;;;;;
Greece;Male (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;4867;;;;5603;;;
Greece;Male (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;3360;;;;3432;;;
Greece;Male (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2946;;;;3179;;;
Greece;Male (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2415;;;;2475;;;
Greece;Male (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;1994;;;;1914;;;
Greece;Male (Sex);6. Skilled agricultural, forestry and fishery workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;1864;;;
Greece;Male (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2630;;;;2597;;;
Greece;Male (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2541;;;;2490;;;
Greece;Male (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;1848;;;;1786;;;
Greece;Male (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2725;;;;2725;;;
Greece;Female (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;3676;;;;4459;;;
Greece;Female (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2825;;;;2893;;;
Greece;Female (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2355;;;;2657;;;
Greece;Female (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2079;;;;2184;;;
Greece;Female (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;1718;;;;1739;;;
Greece;Female (Sex);6. Skilled agricultural, forestry and fishery workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;1702;;;
Greece;Female (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;1876;;;;1859;;;
Greece;Female (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;1940;;;;1901;;;
Greece;Female (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;1649;;;;1539;;;
Greece;Female (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2241;;;;2307;;;
Hungary;Male (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);Survey of Individual Wages and Earnings;Establishment survey;4490;4682;4947;5483;5050;5101;;
Hungary;Male (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);Survey of Individual Wages and Earnings;Establishment survey;3142;3241;3235;3362;3435;3564;;
Hungary;Male (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);Survey of Individual Wages and Earnings;Establishment survey;2181;2350;2503;2425;2446;2507;;
Hungary;Male (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);Survey of Individual Wages and Earnings;Establishment survey;1836;1549;1712;1847;1824;1944;;
Hungary;Male (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);Survey of Individual Wages and Earnings;Establishment survey;1248;1199;1300;1377;1395;1417;;
Hungary;Male (Sex);6. Skilled agricultural, forestry and fishery workers (ISCO-08);Constant 2011 PPP $ (Currency);Survey of Individual Wages and Earnings;Establishment survey;993;1074;1102;1140;1190;1193;;
Hungary;Male (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);Survey of Individual Wages and Earnings;Establishment survey;1423;1503;1605;1634;1589;1698;;
Hungary;Male (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);Survey of Individual Wages and Earnings;Establishment survey;1459;1551;1630;1664;1613;1766;;
Hungary;Male (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);Survey of Individual Wages and Earnings;Establishment survey;813;1051;983;978;1021;966;;
Hungary;Male (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);Survey of Individual Wages and Earnings;Establishment survey;1926;2020;2072;2119;2128;2168;;
Hungary;Male (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;4750;;;
Hungary;Male (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;3324;;;
Hungary;Male (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;2408;;;
Hungary;Male (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;1862;;;
Hungary;Male (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;1494;;;
Hungary;Male (Sex);6. Skilled agricultural, forestry and fishery workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;1415;;;
Hungary;Male (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;1556;;;
Hungary;Male (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;1576;;;
Hungary;Male (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;1234;;;
Hungary;Male (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;2102;;;
Hungary;Female (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);Survey of Individual Wages and Earnings;Establishment survey;3280;3335;3348;3653;3476;3551;;
Hungary;Female (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);Survey of Individual Wages and Earnings;Establishment survey;2236;2242;2145;2289;2482;2500;;
Hungary;Female (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);Survey of Individual Wages and Earnings;Establishment survey;1685;1738;1769;1850;1837;1837;;
Hungary;Female (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);Survey of Individual Wages and Earnings;Establishment survey;1414;1508;1577;1652;1627;1619;;
Hungary;Female (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);Survey of Individual Wages and Earnings;Establishment survey;992;1038;1104;1161;1148;1185;;
Hungary;Female (Sex);6. Skilled agricultural, forestry and fishery workers (ISCO-08);Constant 2011 PPP $ (Currency);Survey of Individual Wages and Earnings;Establishment survey;905;963;992;999;994;1065;;
Hungary;Female (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);Survey of Individual Wages and Earnings;Establishment survey;1080;1070;1171;1229;1211;1288;;
Hungary;Female (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);Survey of Individual Wages and Earnings;Establishment survey;1125;1182;1287;1359;1323;1420;;
Hungary;Female (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);Survey of Individual Wages and Earnings;Establishment survey;798;914;908;926;929;887;;
Hungary;Female (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);Survey of Individual Wages and Earnings;Establishment survey;1620;1688;1692;1771;1805;1797;;
Hungary;Female (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;3161;;;
Hungary;Female (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;2414;;;
Hungary;Female (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;1798;;;
Hungary;Female (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;1713;;;
Hungary;Female (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;1174;;;
Hungary;Female (Sex);6. Skilled agricultural, forestry and fishery workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;1168;;;
Hungary;Female (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;1270;;;
Hungary;Female (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;1310;;;
Hungary;Female (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;1158;;;
Hungary;Female (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;;;;;1772;;;
Ireland;Male (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);National Employment Survey;Establishment survey;6646;;;;6625;;;
Ireland;Male (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);National Employment Survey;Establishment survey;5872;;;;7132;;;
Ireland;Male (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);National Employment Survey;Establishment survey;4730;;;;5403;;;
Ireland;Male (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);National Employment Survey;Establishment survey;3708;;;;4749;;;
Ireland;Male (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);National Employment Survey;Establishment survey;3088;;;;3467;;;
Ireland;Male (Sex);6. Skilled agricultural, forestry and fishery workers (ISCO-08);Constant 2011 PPP $ (Currency);National Employment Survey;Establishment survey;3095;;;;;;;
Ireland;Male (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);National Employment Survey;Establishment survey;3921;;;;4399;;;
Ireland;Male (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);National Employment Survey;Establishment survey;3570;;;;4102;;;
Ireland;Male (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);National Employment Survey;Establishment survey;3026;;;;3600;;;
Ireland;Male (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);National Employment Survey;Establishment survey;4519;;;;5130;;;
Ireland;Female (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);National Employment Survey;Establishment survey;4765;;;;5434;;;
Ireland;Female (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);National Employment Survey;Establishment survey;5148;;;;5806;;;
Ireland;Female (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);National Employment Survey;Establishment survey;3983;;;;4489;;;
Ireland;Female (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);National Employment Survey;Establishment survey;3235;;;;3731;;;
Ireland;Female (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);National Employment Survey;Establishment survey;2642;;;;3022;;;
Ireland;Female (Sex);6. Skilled agricultural, forestry and fishery workers (ISCO-08);Constant 2011 PPP $ (Currency);National Employment Survey;Establishment survey;2881;;;;;;;
Ireland;Female (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);National Employment Survey;Establishment survey;2624;;;;3440;;;
Ireland;Female (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);National Employment Survey;Establishment survey;2671;;;;3523;;;
Ireland;Female (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);National Employment Survey;Establishment survey;2546;;;;2689;;;
Ireland;Female (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);National Employment Survey;Establishment survey;3682;;;;4207;;;
Italy;Male (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;8337;;;;10265;;;
Italy;Male (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;5045;;;;5278;;;
Italy;Male (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;3662;;;;4163;;;
Italy;Male (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;3088;;;;3321;;;
Italy;Male (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2539;;;;2745;;;
Italy;Male (Sex);6. Skilled agricultural, forestry and fishery workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2220;;;;2186;;;
Italy;Male (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2506;;;;2928;;;
Italy;Male (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2724;;;;2948;;;
Italy;Male (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2213;;;;2464;;;
Italy;Male (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;3162;;;;3624;;;
Italy;Female (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;6067;;;;6621;;;
